Regi?o;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total
Norte;0;0;1;1;4;20;39;62;80;133;180;215;312;372;451;573;695;785;908;1251;1544;1593;2116;2099;2235;2506;3111;3164;3441;3452;3527;4318;4486;4205;1802;49681
Nordeste;1;4;4;28;55;172;256;446;596;833;1009;1224;1398;1573;1991;2308;2832;2815;3383;3726;4732;4815;5551;6073;5762;6607;7161;7475;7692;8097;8494;9033;8809;8670;3491;127116
Sudeste;13;32;113;464;929;2237;3606;4846;6862;8765;10925;12173;12953;14612;16182;17051;18287;16316;18994;18420;21566;20371;20007;19798;18686;17677;18065;18321;17578;18295;17429;16933;16310;15402;6292;446510
Sul;2;4;7;20;96;158;299;444;799;1243;1462;2029;2441;3105;3742;4458;5520;5223;6481;6963;9028;8658;7934;7597;8229;9023;9729;8880;8620;9210;9022;8935;8476;8157;3213;169207
Centro-Oeste;0;0;5;16;32;98;139;188;273;503;619;739;878;1079;1204;1459;1335;1205;1557;1739;2396;2488;2390;2281;2221;2350;2442;2527;2540;2791;2957;3046;2926;2679;1087;50189
Total;16;40;130;529;1116;2685;4339;5986;8610;11477;14195;16380;17982;20741;23570;25849;28669;26344;31324;32099;39268;37925;37998;37848;37133;38163;40508;40368;39872;41845;41429;42266;41007;39113;15885;842709
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Regi?o;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;Total;;;;;;;;;;;;;;;;;;;;;;;;;
Norte;2506;3111;3164;3441;3452;3527;4318;4486;4205;1802;34012;;;;;;;;;;;;;;;;;;;;;;;;;
Nordeste;6607;7161;7475;7692;8097;8494;9033;8809;8670;3491;75529;;;;;;;;;;;;;;;;;;;;;;;;;
Sudeste;17677;18065;18321;17578;18295;17429;16933;16310;15402;6292;162302;;;;;;;;;;;;;;;;;;;;;;;;;
Sul;9023;9729;8880;8620;9210;9022;8935;8476;8157;3213;83265;;;;;;;;;;;;;;;;;;;;;;;;;
Centro-Oeste;2350;2442;2527;2540;2791;2957;3046;2926;2679;1087;25345;;;;;;;;;;;;;;;;;;;;;;;;;
Total;38163;40508;40368;39872;41845;41429;42266;41007;39113;15885;380456;;;;;;;;;;;;;;;;;;;;;;;;;
