nao;no;no
vivoemrede;vivoemrede;vivoemrede
vivo;vivo;vivo
claro;Clear;Claro
internet;internet;internet
tim;tim;tim
pra;for;para
ta;It was;Era
clarobrasil;clarobrasil;clarobrasil
oi;the;el
sinal;sign;señal
bradesco;bradesco;bradesco
atendimento;attendance;asistencia
itau;itau;bradesco
ja;and;y
skybrasil;skybrasil;skybrasil
digaoi;digaoi;digaoi
serviao;service;Servicio
claroblog;claroblog;claroblog
pior;worse;peor
bancodobrasil;Bank of Brazil;Banco de Brasil
skyresponde;skyresponde;skyresponde
dias;days;días
merda;shit;mierda
dia;day;día
ser;to be;ser
nada;nothing;nada
hoje;today;hoy
conta;account;cuenta
vcs;you;useted
vocaa;vocaa;vocaa
operadora;operator;operador
timbrasil;timbrasil;TIM Brasil
aqui;on here;aqui
itaucard;itaucard;itaucard
telefone;phone;teléfono
vai;go;ir
lixo;trash;basura
cliente;client;cliente
banco;Bank;Banco
claroronaldo;claroronaldo;claroronaldo
ter;to have;tener
ha;he has;hay
agora;now;ahora
pq;why;por qué
funciona;it works;funciona
ata;they;ellos
vou;I will;voy a
brasil;Brazil;Brasil
